question,answer,document
Какие ограничения могут препятствовать завершению строительства объектов незавершенного строительства?," Ограничения, которые могут препятствовать завершению строительства объектов незавершенного строительства в соответствии с текстом закона (приведённым в контексте), включают:

1. Истечение срока действия разрешения на строительство, и отсутствие продления этого срока по установленному порядку.
2. Продолжительность более двенадцати месяцев со дня отказа в выдаче разрешения на ввод объекта капитального строительства в эксплуатацию, при неустранении оснований для отказа в выдаче.
3. Истечение срока действия договора аренды земельного участка или договора безвозмездного пользования таким земельным участком, при отсутствии оснований для приобретения прав на этот участок в целях завершения строительства объекта капитального строительства.
4. Наличие ограничений, установленных земельным и иным законодательством Российской Федерации, являющихся основанием для отказа в выдаче разрешения на ввод такого объекта в эксплуатацию.
5. Отсутствие средств бюджетов бюджетной системы России на завершение строительства, реконструкции объекта капитального строительства в течение трех лет начиная с последнего года, когда осуществлялось финансирование таких строительств и реконструкций за счёт средств бюджетов бюджетной системы России, при отсутствии финансирования этих строительств и реконструкций за счёт внебюджетных источников.
6. В отношении объекта капитального строительства или земельного участка наложено арест, предопредусмотренный законом, запрет совершать определенные действия или избрана мера пресечения в виде залога.
7. Вступило в силу решение суда, включая о признании объекта капитального строительства самовольной постройкой.

Кроме того, Правительством Российской Федерации могут быть предусмотрены иные основания отнесения объектов капитального строительства к незавершенным объектам капитального строительства при осуществлении строительства, реконструкции за счёт средств федерального бюджета.","['Градостроительный кодекс Российской Федерации', 'Гражданский кодекс Российской Федерации', 'Административный кодекс Российской Федерации']"
В каких случаях доказательство может быть признано недопустимым?," В соответствии с предоставленным контекстом из Кодекса РФ о судебном процессе, доказательство может быть признано недопустимым в следующих случаях:

1. Если оно получено нарушением требований кодекса (статья 75). Это может касаться доказательств, поданных без защитника или не подтвержденные подозреваемым/обвиняемым в суде, сведения о фактах полученные в ходе оперативно-розыскных мероприятий или следственных действий, которые нарушают права адвоката и доверителей, или другие доказательства, полученные с нарушением требований кодекса.

2. В случаях, указанных в части второй статьи 75 Кодекса (статья 75). Это может касаться показаний потерпевшего/свидетеля, основанных на догадке, предположении, слухе или показаний свидетеля, который не может указать источник своей осведомленности.

3. При рассмотрении ходатайства об исключении доказательства, заявленного стороной защиты на том основании, что доказательство было получено с нарушением требований кодекса, бремя опровержения доводов, представленных стороной защиты, лежит на прокуроре (статья 235).

4. В исключительных случаях после вступления решения суда в законную силу носители аудио- и видеозаписей могут быть возвращены лицу или организации, их предоставившим (статья 76). В этом случае бремя доказывания обстоятельств лежит на стороне, заявившей ходатайство.","['Кодекс административного судопроизводства Российской Федерации', 'Уголовно-процессуальный кодекс Российской Федерации']"
Как долго может длиться экспертиза оферт?," В контексте предоставленного текста, срок экспертизы оферт может быть не более 6 месяцев со дня вскрытия внутреннего конверта. Этот срок может быть изменен в зависимости от сложности объекта и предмета торгов, устанавливается тендерным комитетом и объявляется на первом заседании тендерного комитета. В случае невозможности завершения экспертизы в срок, он может быть продлен в соответствии с законодательством государств-членов.","['Кодекс административного судопроизводства Российской Федерации', 'Уголовно-процессуальный кодекс Российской Федерации', 'Data1_10_10866_index', 'Гражданский кодекс Российской Федерации', 'Таможенный кодекс Евразийского экономического союза']"
"Какое право применяется, если между сторонами обязательства не заключено соглашение о праве, подлежащем применению?"," Если между сторонами обязательства не заключено соглашение о праве, подлежащем применению, то право применяется в соответствии с тем, что предусмотрено законом или нормативными актами. Если условий для выбора права сторонами нет, то право применяется обычным путем, применимым к отношениям сторон.

В данном случае, если между сторонами нет соглашения о подлежащем применению праве и все касающиеся существа отношений связаны только с одной страной, то выбор права другой страны не может затрагивать действие императивных норм права той страны, с которой связаны все касающиеся существа отношений сторон обстоятельств. Если иное не вытекает из закона или существа отношений, то положения соответственно применяются к выбору по соглашению сторонами права, подлежащего применению к отношениям, не основанным на договоре, когда такой выбор допускается законом (Статья 1210. Выбор права сторонами договора).

Также в случаях, когда условие договора предусмотрено нормой, которая применяется постольку, поскольку соглашением сторон не установлено иное (диспозитивная норма), стороны могут своим соглашением исключить ее применение либо установить условие, отличное от предусмотренного в ней. При отсутствии такого соглашения условие договора определяется диспозитивной нормой (Статья 421. Свобода договора).

В случаях, когда условие договора не определено сторонами или диспозитивной нормой, соответствующие условия определяются обычными, применимыми к отношениям сторон (Статья 328. Встречное исполнение обязательства).",['Гражданский кодекс Российской Федерации']
"Какие дела об административных правонарушениях рассматривает федеральный орган исполнительной власти, осуществляющий функции в сфере деятельности войск национальной гвардии Российской Федерации?"," Федеральный орган исполнительной власти, осуществляющий функции в сфере деятельности войск национальной гвардии Российской Федерации рассматривает дела об административных правонарушениях, предусмотренных частью 36 статьи 19.5, частями 1, 3, 4, 4.1, 5 и 6 статьи 20.8, статьей 20.11, частями 1 - 3 статьи 20.12, статьей 20.14, частями 1, 2 - 4 статьи 20.16, частью 1 статьи 20.23, статьей 20.24 настоящего Кодекса.",['Административный кодекс Российской Федерации']
"Что происходит, если сторона анализируемой сделки не отвечает требованиям для сопоставления?"," Если сторона анализируемой сделки не отвечает требованиям, предусмотренным подпунктами 1 - 3 пункта 6 статьи 105.8 Налогового Кодекса, для сопоставления с рыночным интервалом рентабельности, то выбирается та сторона анализируемой сделки, которая в наибольшей степени отвечает указанным требованиям. Если ни одна из сторон не соответствует требованиям, для целей налогообложения определяется минимальное или максимальное значение интервала рентабельности в соответствии с пунктом 9 статьи 105.8 Налогового Кодекса и производится корректировка прибыли (дохода, выручки) по контролируемой сделке в целях налогообложения.","['Гражданский кодекс Российской Федерации', 'Налоговый кодекс Российской Федерации']"
Какова максимальная влажность древесины должна быть согласно ГОСТ МДС 17-13.2000?," По материалам предоставленного контекста, не указано какой именно документ ГОСТ МДС 17-13.2000 относится. Однако приведенный табличный раздел содержит нормативные требования по древесине в виде ГОСТов, среди которых есть и ГОСТ МДС 17-13.2000 ""Хлебная солома. Термоэмиссионный анализ соломы"" (в котором нет упоминаний о влажности древесины).

Но, в СНиП 2.04.01-85 ""Основные правила проектирования и выполнения работ по строительству зданий и сооружений"" (раздел ""Главная часть. Общие положения"") в таблице 16 ""Древесина"" указано, что влажность древесины должна быть не более 25 %.","['Лесной кодекс Российской Федерации', 'Data1_10_10865_index', 'Data1_10_10861_index', 'Data1_11_11295_index']"
Какие сведения должны быть указаны в исковом заявлении?," В исковом заявлении следует указать:
1) наименование суда, в который подается заявление;
2) сведения об истце (имя, отчество, фамилия, дата и место рождения, адрес или место жительства, идентификатор); для организации - наименование, адрес, идентификационный номер налогоплательщика; если заявление подается представителем, то также указать его сведения;
3) сведения об ответчике (имя, отчество, фамилия, дата и место рождения, адрес или место жительства, места работы, идентификатор); для организации - наименование, адрес, идентификационный номер налогоплательщика и регистрационный номер;
4) в чем заключается нарушение или угроза прав, свобод или интересов истца и его требования;
5) обстоятельства, на которых основаны исковые требования и доказательства, подтверждающие эти обстоятельства;
6) цена иска, если он подлежит оценке, а также расчет взыскиваемых или оспариваемых денежных сумм;
7) сведения о соблюдении досудебного порядка обращения к ответчику (если это установлено федеральным законом);
8) сведения о предпринятых сторонами действиях, направленных на примирение;
9) перечень прилагаемых к заявлению документов.

В исковом заявлении могут быть указаны номера телефонов, факсов, адреса электронной почты истца, его представителя, ответчика, иные сведения, имеющие значение для рассмотрения и разрешения дела.","['Гражданский процессуальный кодекс Российской Федерации', 'Арбитражный процессуальный кодекс Российской Федерации', 'Кодекс административного судопроизводства Российской Федерации']"
Какие нарушения относятся к категории «В» согласно ГОСТ МДС 17-13.2000?," В соответствии с ГОСТ МДС 17-13.2000, нарушения относятся к категории ""В"" в случае следующих проблем:

6. Двигатель (нарушения норм ГОСТ Р 52033-2003 и ГОСТ Р 52160-2003 по содержанию вредных веществ в отработавших газах, дымность и герметичности систем питания, выпуска отработавших газов, вентиляции картера; нарушение норм ГОСТ Р 52231-2004 по уровню внешнего шума)

5. Колеса и шины (шины с пробоинами, порезами, разрывами, расслоением каркаса, отслоениями протектора и боковины; несоблюдение требований к рисунку протектора и модели транспортного средства)

Статья 19.19 (нарушение законодательства об обеспечении единства измерений, наложение административного штрафа на должностных лиц и юридических лиц в размере от 20 тысяч до пятидесяти тысяч рублей для несоблюдения требований аттестованных методик (методов) измерений, либо несоблюдения порядка уведомления о своей деятельности и проверки стандартных образцов или средств измерений в целях утверждения типа, а также применения в сфере государственного регулирования обеспечения единства измерений не допущенных к применению в Российской Федерации единиц величин)","['Data1_11_11295_index', 'ПДД Российской Федерации', 'Data1_10_10862_index', 'Административный кодекс Российской Федерации']"
"Что означает знак 3.33 ""Движение транспортных средств с взрывчатыми и легковоспламеняющимися грузами запрещено""?"," Знак 3.33 ""Движение транспортных средств с взрывчатыми и легковоспламеняющимися грузами запрещено"" означает, что движение транспортных средств, осуществляющих перевозку взрывчатых веществ и изделий, а также других опасных грузов, подлежащих маркировке как легковоспламеняющиеся, кроме случаев перевозки указанных опасных веществ и изделий в ограниченном количестве, определяемом в порядке, установленном специальными правилами перевозки, запрещено.","['ПДД Российской Федерации', 'Воздушный кодекс Российской Федерации']"
"Какие документы должны быть приложены к информации, предоставляемой налогоплательщиком?"," При предоставлении информации налогоплательщиком по требованию федерального органа исполнительной власти для целей налогового контроля в соответствии с статьей 105.15 кодекса Российской Федерации о налогах и сборах, должны быть приложены следующие документы:

1) Информация о деятельности налогоплательщика (лиц), совершившего контролируемую сделку (группу однородных сделок), связанную с этой сделкой, включая перечень лиц (с указанием государств и территорий, налоговыми резидентами которых они являются), с которыми совершена контролируемая сделка, описание контролируемой сделки, ее условий, включая описание методики ценообразования (при ее наличии), условия и сроки осуществления платежей по этой сделке и прочую информацию о сделке;
2) Информация о функции лиц, являющихся сторонами сделки (в случае проведения налогоплательщиком функционального анализа), об используемых ими активах, связанных с этой контролируемой сделкой, и о принимаемых ими экономических (коммерческих) рисках, которые налогоплательщик учитывал при ее заключении;
3) В случае использования налогоплательщиком методов, предусмотренных главой 14.3 кодекса, следующие сведения об использованных методах: обоснование причин выбора и способа применения используемого метода; указание на используемые источники информации; расчет интервала рыночных цен (интервала рентабельности) по контролируемой сделке с описанием подхода, использованного для выбора сопоставимых сделок; сумма полученных доходов (прибыли) и (или) сумма произведенных расходов (понесенных убытков) в результате совершения контролируемой сделки, полученной рентабельности; сведения об экономической выгоде, получаемой от контролируемой сделки лицом, которым совершена эта сделка, в результате приобретения информации, результатов интеллектуальной деятельности, прав на обозначения, индивидуализирующие предприятие, его продукцию, работу и услуги (фирменное наименование, товарные знаки, знаки обслуживания), и других исключительных прав (при наличии соответствующих обстоятельств); сведения о прочих факторах, которые оказали влияние на цену (рентабельность), примененную в контролируемой сделке, в том числе сведения о рыночной стратегии лица, совершившего контролируемую сделку, если эта рыночная стратегия оказала влияние на цену (рентабельность), примененную в этой контролируемой сделке (при наличии соответствующих обстоятельств); произведенные налогоплательщиком корректировки налоговой базы и сумм налога (убытка) в соответствии с пунктом 6 статьи 105.3 кодекса (в случае их осуществления);
4) В случае совершения налогоплательщиком, являющимся участником международной группы компаний, общая сумма дохода (выручки) которой не удовлетворяет условию, предусмотренному подпунктом 3 пункта 6 статьи 105.16-3 кодекса, следующие сведения в дополнение к сведениям, указанным в подпунктах 1 и 2 настоящего пункта:
* сведения о структуре органов управления налогоплательщика и идентификационные сведения о лицах, которым подлежит представлению управленческая отчетность, и государствах (территориям), в которых такие лица осуществляют свою основную деятельность;
* сведения о деятельности налогоплательщика и его рыночной стратегии, информация о проведенной реструктуризации деятельности налогоплательщика в рамках международной группы компаний (при ее проведении в налоговом периоде совершения сделки или предшествующем налоговому периоду) и передаче (получении) нематериальных активов (в налоговом периоде совершения сделки или предшествующем налоговому периоду), а также пояснения о том, как такая сделка (сделки) повлияла на деятельность налогоплательщика;
* сведения об основных конкурентах налогоплательщика;
* описание причин, на основании которых сделан вывод о том, что цена, примененная в контролируемой сделке (группе однородных сделок), соответствует рыночной цене;
* описание корректировок, производимых для обеспечения сопоставимости условий сделок (при наличии);
* копии существенных соглашений между участниками международной группы компаний, оказывающих влияние на ценообразование в контролируемой сделке (группе однородных сделок);
* копии соглашений о ценообразовании, налоговых разъяснений компетентных органов иностранных государств (территорий), применяемых в сделках между участниками международной группы компаний, которые имеют отношение к анализируемой контролируемой сделке (группе однородных сделок) и в подготовке которых не участвовал федеральный орган исполнительной власти, уполномоченный по контролю и надзору в области налогов и сборов;
* аудиторское заключение в отношении бухгалтерской (финансовой) отчетности налогоплательщика за последний отчетный период (если налогоплательщик подлежит обязательному аудиту или проводил добровольный аудит).","['Гражданский процессуальный кодекс Российской Федерации', 'Кодекс торгового мореплавания Российской Федерации', 'Налоговый кодекс Российской Федерации']"
"Какие статьи КоАП рассматривают судьи районных судов, согласно пункту 4 статьи 23.1?"," Судьи районных судов рассматривают дела об административных правонарушениях, предусмотренных частями 1 и 2 статьи 19, статьями 5.38, частями 2 и 3 статьи 6.3, статьями 7.13 - 7.16, частями 2.1 - 2.4 статьи 13.15, статьей 13.47, частями 1 и 4 статьи 14.57, статьями 15.27.3, 19.3, частями 18 и 19 статьи 19.5, статьями 19.7.5-2 - 19.7.5-4, статьей 19.28 (в части административных правонарушений, совершенных за пределами Российской Федерации), статьями 19.34, 19.34.1, 20.1-20.3.4, 20.6.1, 20.18, частью 2 статьи 20.28, статьями 20.29, 20.31, 20.33, 20.34 настоящего КоАП.","['Кодекс внутреннего водного транспорта Российской Федерации', 'Гражданский процессуальный кодекс Российской Федерации', 'Кодекс административного судопроизводства Российской Федерации', 'Административный кодекс Российской Федерации']"
Какие действия рекомендуется проводить для сопоставления расценок на эксплуатацию строительных машин и тарифов на транспортные услуги согласно ГОСТ МДС 81-9.2000?," В ответ на данный вопрос следует провести сравнительный анализ расценок, приведенных в федеральном сборнике сметных норм и расценок на эксплуатацию строительных машин (СНиП 4.03-91), и стоимости транспортных услуг, установленной ГОСТом МДС 81-9.2000 ""Методические рекомендации по определению величины накладных расходов в строительстве"".

Расчет стоимости затрат на эксплуатацию машин осуществляется, исходя из данных о времени использования (нормативная потребность) необходимых строительных машин и соответствующей цены одного машино-часа их эксплуатации. Информация о текущих ценах на эксплуатацию строительных машин может быть получена от подрядных строительномонтажных организаций, трестов (управлений) механизации или других организаций, в расположении которых находится строительная техника.

Стоимость эксплуатации машин в ценах 1984 г. может быть умножена на коэффициент изменения стоимости, полученный путем сравнения стоимостей машин в разных годах, и умножена на территориальный коэффициент к федеральным единичным расценовкам (ФЕРм), чтобы пересчитать их в текущий уровень цен на потребляемые ресурсы и полученные итоги.

Накладные расходы, определенные согласно ГОСТу МДС 81-9.2000, также должны быть умножены на коэффициент изменения стоимости для получения итогового значения.

При этом следует учитывать, что в сметных нормах и расценах на эксплуатацию строительных машин не учитываются все виды транспортных услуг, установленные ГОСТом МДС 81-9.2000.

Подробную информацию о методах расчета стоимости эксплуатации машин можно найти в Методических рекомендациях по разработке сметных норм и расценок на эксплуатацию строительных машин ([МДС 81-3.99](#)).

В случае, если затраты на транспортные услуги превысят стоимость расчетов по сметным нормам и расценам на эксплуатацию строительных машин, необходимо провести дополнительный анализ, учитывая всех задействованных поставщиков транспортных услуг и выявлять возможные случаи переоценок стоимости транспортных услуг.

Составил: \_\_\_\_\_
Проверил: \_\_\_\_\_","['Data1_2_2117_index', 'Data1_10_10754_index', 'Data1_10_10848_index']"
Какова стоимость комментариев к статьям на сайте https://nkodeksrf.ru/ для организаций?," Стоимость комментариев к статьям на сайте <https://nkodeksrf.ru/> для организаций не указана. Это бесплатная юридическая консультация, которую можно получить по телефонам:

- • 8 (499) 938-53-71 (Москва и МО);
- • 8 (812) 467-95-28 (Санкт-Петербург и ЛО);
- • 8 (800) 301-92-12 (Регионы РФ).",['Налоговый кодекс Российской Федерации']
"Какие действия предпринимаются при невыполнении обязанностей по сносу самовольной постройки или ее приведению в соответствие с требованиями на земельном участке, не приобретенном иным лицом на публичных торгах?"," Если лица, указанные в части 6 статьи 55.32 Градостроительного кодекса Российской Федерации (создатели или владельцы самовольной постройки), не выполняют обязанности по сносу самовольной постройки или её приведению в соответствие с установленными требованиями, то орган местного самоуправления (ОМС) может предпринимать следующие действия:

1. Направляет в течение семи рабочих дней после истечения срока для выполнения соответствующей обязанности уведомление об этом в исполнительный орган государственной власти или органа местного самоуправления, уполномоченные на предоставление земельных участков, находящихся в государственной или муниципальной собственности (при условии, что самовольная постройка создана или возведена на земельном участке, находящемся в государственной или муниципальной собственности).

2. Обращается в течение шести месяцев после истечения срока для выполнения соответствующей обязанности в суд с требованием об изъятии земельного участка и о его продаже с публичных торгов при условии, что самовольная постройка создана или возведена на земельном участке, находящемся в частной собственности, за исключением случая, предусмотренного пунктом 3 части 13 статьи 55.32 Градостроительного кодекса Российской Федерации.

3. Обращается в течение шести месяцев после истечения срока для выполнения соответствующей обязанности в суд с требованием об изъятии земельного участка и о его передаче в государственную или муниципальную собственность при условии, что самовольная постройка создана или возведена на земельном участке, находящемся в частной собственности, и такой земельный участок расположен в границах территории общего пользования, за исключением случая, предусмотренного пунктом 3 части 13 статьи 55.32 Градостроительного кодекса Российской Федерации.

Если указанные в части 6 статьи 55.32 лица не были выявлены, то ОМС может выполнять одно из следующих действий:

1) направляет в течение семи рабочих дней после истечения срока для выполнения соответствующей обязанности уведомление об этом в исполнительный орган государственной власти или орган местного самоуправления, уполномоченные на предоставление земельных участков, находящихся в государственной или муниципальной собственности;

2) обращается в течение шести месяцев после истечения срока для выполнения соответствующей обязанности в суд с требованием об изъятии земельного участка и о его продаже с публичных торгов при условии, что самовольная постройка создана или возведена на земельном участке, находящемся в частной собственности, за исключением случая, предусмотренного пунктом 3 части 13 статьи 55.32 Градостроительного кодекса Российской Федерации;

3) обращается в течение шести месяцев после истечения срока для выполнения соответствующей обязанности в суд с требованием об изъятии земельного участка и о его передаче в государственную или муниципальную собственность при условии, что самовольная постройка создана или возведена на земельном участке, находящемся в частной собственности, и такой земельный участок расположен в границах территории общего пользования, за исключением случая, предусмотренного пунктом 3 части 13 статьи 55.32 Градостроительного кодекса Российской Федерации.

Если снос самовольной постройки или её приведение в соответствие с требованиями лицом, которое создало или возвело самовольную постройку, не осуществлено в установленные сроки, то орган местного самоуправления (ОМС), принявший решение о сносе самовольной постройки либо решение о сносе самовольной постройки или ее приведении в соответствие с требованиями, может передать права на земельный участок (за исключением случаев, предусмотренных статьей 238 Гражданского кодекса Российской Федерации), в который была создана или возведена самовольная постройка, новому правообладателю земельного участка.","['Земельный кодекс Российской Федерации', 'Градостроительный кодекс Российской Федерации', 'Гражданский кодекс Российской Федерации']"
